leagueNation,league,team name,num,name,age,nationality,position,market value
Germany,2. Bundesliga,1.FC Kaiserslautern,40,Dickson Abiama,25,Nigeria,ST,700000.0
Germany,2. Bundesliga,1.FC Kaiserslautern,19,Daniel Hanslik,27,Germany,ST,400000.0
Germany,2. Bundesliga,Karlsruher SC,9,Igor Matanovic,21,Croatia,ST,4000000.0
Germany,2. Bundesliga,Karlsruher SC,11,Budu Zivzivadze,30,Georgia,ST,700000.0
Germany,2. Bundesliga,Karlsruher SC,24,Fabian Schleusener,32,Germany,ST,600000.0
Germany,2. Bundesliga,SV 07 Elversberg,29,Wahid Faghir,20,Denmark,ST,2500000.0
Germany,2. Bundesliga,SV 07 Elversberg,24,Luca Schnellbacher,29,Germany,ST,700000.0
Germany,2. Bundesliga,SV 07 Elversberg,9,Dominik Martinovic,27,Germany,ST,400000.0
Germany,2. Bundesliga,SV 07 Elversberg,30,Kevin Koffi,37,Italy,ST,100000.0
Germany,2. Bundesliga,SC Paderborn 07,29,Ilyas Ansah,19,Germany,ST,1500000.0
Germany,2. Bundesliga,SC Paderborn 07,7,Filip Bilbija,23,Germany,ST,1200000.0
Germany,2. Bundesliga,SC Paderborn 07,36,Felix Platte,28,Germany,ST,900000.0
Germany,2. Bundesliga,SC Paderborn 07,10,Koen Kostons,24,Netherlands,ST,650000.0
Germany,2. Bundesliga,SC Paderborn 07,39,Adriano Grimaldi,33,Germany,ST,400000.0
Germany,2. Bundesliga,SV Wehen Wiesbaden,18,Ivan Prtajin,27,Croatia,ST,1800000.0
Germany,2. Bundesliga,SV Wehen Wiesbaden,14,Franko Kovacevic,24,Croatia,ST,800000.0
Germany,2. Bundesliga,SV Wehen Wiesbaden,25,Nikolas Agrafiotis,23,Netherlands,ST,750000.0
Germany,2. Bundesliga,SV Wehen Wiesbaden,10,Antonio Jonjic,24,Germany,ST,500000.0
Germany,2. Bundesliga,SV Wehen Wiesbaden,33,John Iredale,24,Australia,ST,300000.0
Germany,2. Bundesliga,1.FC Magdeburg,8,Bryan Teixeira,23,Cape Verde,ST,1200000.0
Germany,2. Bundesliga,1.FC Magdeburg,26,Luca Schuler,25,Germany,ST,700000.0
Germany,2. Bundesliga,1.FC Magdeburg,9,Luc Castaignos,31,Netherlands,ST,350000.0
Germany,2. Bundesliga,1.FC Magdeburg,18,Emir Kuhinja,21,Germany,ST,75000.0
Germany,2. Bundesliga,FC Hansa Rostock,49,Júnior Brumado,24,Brazil,ST,1000000.0
Germany,2. Bundesliga,FC Hansa Rostock,18,Juan-José Perea,24,Colombia,ST,800000.0
Germany,2. Bundesliga,FC Hansa Rostock,45,Sveinn Aron Gudjohnsen,25,Iceland,ST,800000.0
Germany,2. Bundesliga,Eintracht Braunschweig,9,Rayan Philippe,23,France,ST,600000.0
Germany,2. Bundesliga,Eintracht Braunschweig,10,Florian Krüger,25,Germany,ST,600000.0
Germany,2. Bundesliga,Eintracht Braunschweig,14,Anthony Ujah,33,Nigeria,ST,600000.0
Germany,2. Bundesliga,Eintracht Braunschweig,11,Luc Ihorst,24,Germany,ST,350000.0
Germany,2. Bundesliga,VfL Osnabrück,9,Erik Engelhardt,25,Germany,ST,1000000.0
Germany,2. Bundesliga,VfL Osnabrück,10,Kwasi Wriedt,29,Ghana,ST,400000.0
Germany,2. Bundesliga,VfL Osnabrück,21,Lex-Tyger Lobinger,25,Germany,ST,350000.0
Germany,2. Bundesliga,VfL Osnabrück,23,John Verhoek,35,Netherlands,ST,250000.0
Germany,3. Liga,Borussia Dortmund II,27,Rodney Elongo-Yombo,22,Germany,ST,400000.0
Germany,3. Liga,Borussia Dortmund II,29,Jermain Nischalke,21,Germany,ST,300000.0
Germany,3. Liga,Borussia Dortmund II,22,Paul-Philipp Besong,23,Germany,ST,250000.0
Germany,3. Liga,Borussia Dortmund II,9,Moses Otuali,21,Germany,ST,225000.0
Germany,3. Liga,SC Freiburg II,9,Alessio Besio,20,Switzerland,ST,600000.0
Germany,3. Liga,SC Freiburg II,29,Maximilian Breunig,23,Germany,ST,450000.0
Germany,3. Liga,SC Freiburg II,18,Hamadi Al-Ghaddioui,33,Morocco,ST,250000.0
Germany,3. Liga,SG Dynamo Dresden,21,Robin Meißner,24,Germany,ST,450000.0
Germany,3. Liga,SG Dynamo Dresden,30,Stefan Kutschke,35,Germany,ST,250000.0
Germany,3. Liga,SG Dynamo Dresden,9,Manuel Schäffler,35,Germany,ST,150000.0
Germany,3. Liga,SV Sandhausen,10,Rouwen Hennings,36,Germany,ST,250000.0
Germany,3. Liga,SV Sandhausen,17,David Otto,25,Germany,ST,500000.0
Germany,3. Liga,SV Sandhausen,23,Markus Pink,33,Austria,ST,400000.0
Germany,3. Liga,SV Sandhausen,8,Richard Meier,20,Germany,ST,200000.0
Germany,3. Liga,FC Ingolstadt 04,11,Sebastian Grönning,27,Denmark,ST,500000.0
Germany,3. Liga,FC Ingolstadt 04,7,Jannik Mause,25,Germany,ST,450000.0
Germany,3. Liga,FC Ingolstadt 04,37,Pascal Testroet,33,Germany,ST,400000.0
Germany,3. Liga,FC Ingolstadt 04,31,Julian Kügel,27,Germany,ST,175000.0
Germany,3. Liga,FC Ingolstadt 04,25,Arian Llugiqi,21,Kosovo,ST,150000.0
Germany,3. Liga,FC Ingolstadt 04,33,Jeroen Krupa,20,Germany,ST,50000.0
Germany,3. Liga,TSV 1860 Munich,9,Joël Zwarts,24,Netherlands,ST,400000.0
Germany,3. Liga,TSV 1860 Munich,19,Fynn Lakenmacher,23,Germany,ST,275000.0
Germany,3. Liga,TSV 1860 Munich,38,Serhat-Semih Güler,26,Germany,ST,250000.0
Germany,3. Liga,TSV 1860 Munich,27,Mansour Ouro-Tagba,19,Togo,ST,150000.0
Germany,3. Liga,1.FC Saarbrücken,9,Kai Brünker,29,Germany,ST,350000.0
Germany,3. Liga,1.FC Saarbrücken,39,Patrick Schmidt,30,Germany,ST,300000.0
Germany,3. Liga,1.FC Saarbrücken,22,Simon Stehle,22,Germany,ST,200000.0
Germany,3. Liga,1.FC Saarbrücken,24,Sebastian Jacob,30,Germany,ST,200000.0
Germany,3. Liga,1.FC Saarbrücken,38,Léo Sahin,18,Türkiye,ST,
Germany,3. Liga,MSV Duisburg,33,Daniel Ginczek,33,Germany,ST,400000.0
Germany,3. Liga,MSV Duisburg,14,Pascal Köpke,28,Germany,ST,200000.0
Germany,3. Liga,MSV Duisburg,40,Alexander Esswein,34,Germany,ST,200000.0
Germany,3. Liga,MSV Duisburg,20,Robin Müller,23,Germany,ST,150000.0
Germany,3. Liga,MSV Duisburg,31,Benjamin Girth,32,Germany,ST,150000.0
Germany,3. Liga,MSV Duisburg,19,Chinedu Ekene,24,Germany,ST,125000.0
Germany,3. Liga,MSV Duisburg,36,Kaan İnanoğlu,18,Türkiye,ST,100000.0
Germany,3. Liga,SSV Jahn Regensburg,20,Noah Ganaus,23,Germany,ST,350000.0
Germany,3. Liga,SSV Jahn Regensburg,29,Elias Huth,27,Germany,ST,250000.0
Germany,3. Liga,SSV Jahn Regensburg,30,Valdrin Mustafa,26,Kosovo,ST,200000.0
Germany,3. Liga,SSV Jahn Regensburg,9,Eric Hottmann,24,Germany,ST,175000.0
Germany,3. Liga,SSV Jahn Regensburg,36,Kelvin Onuigwe,20,Germany,ST,50000.0
Germany,3. Liga,Arminia Bielefeld,39,Manuel Wintzheimer,25,Germany,ST,350000.0
Germany,3. Liga,Arminia Bielefeld,9,Fabian Klos,36,Germany,ST,250000.0
Germany,3. Liga,Arminia Bielefeld,29,Henrik Koch,17,Germany,ST,250000.0
Germany,3. Liga,FC Viktoria Köln,9,André Becker,27,Germany,ST,250000.0
Germany,3. Liga,FC Viktoria Köln,18,Tobias Anselm,24,Austria,ST,250000.0
Germany,3. Liga,FC Viktoria Köln,38,Seok-ju Hong,20,"Korea, South",ST,150000.0
Germany,3. Liga,FC Viktoria Köln,42,Malek El Mala,19,Germany,ST,50000.0
Germany,3. Liga,SV Waldhof Mannheim,13,Terrence Boyd,33,United States,ST,450000.0
Germany,3. Liga,SV Waldhof Mannheim,19,Jesaja Herrmann,24,Germany,ST,200000.0
Germany,3. Liga,SV Waldhof Mannheim,22,Yann Mabella,28,Congo,ST,200000.0
Germany,3. Liga,SV Waldhof Mannheim,32,Kennedy Okpala,19,Germany,ST,200000.0
Germany,3. Liga,SV Waldhof Mannheim,10,Pascal Sohm,32,Germany,ST,150000.0
Germany,3. Liga,Hallescher FC,28,Dominic Baumann,28,Germany,ST,350000.0
Germany,3. Liga,Hallescher FC,33,Jonas Nietfeld,30,Germany,ST,275000.0
Germany,3. Liga,Rot-Weiss Essen,20,Leonardo Vonic,20,Croatia,ST,400000.0
Germany,3. Liga,Rot-Weiss Essen,9,Ron Berlinski,29,Germany,ST,200000.0
Germany,3. Liga,Rot-Weiss Essen,29,Moussa Doumbouya,26,Guinea,ST,200000.0
Germany,3. Liga,Preußen Münster,23,Malik Batmaz,24,Germany,ST,600000.0
Germany,3. Liga,Preußen Münster,9,Joel Grodowski,26,Germany,ST,450000.0
Germany,3. Liga,Preußen Münster,25,Gerrit Wegkamp,31,Germany,ST,200000.0
Germany,3. Liga,Preußen Münster,28,Dominik Steczyk,24,Poland,ST,200000.0
Germany,3. Liga,SpVgg Unterhaching,42,Gibson Nana Adu,16,Germany,ST,300000.0
Germany,3. Liga,SpVgg Unterhaching,34,Patrick Hobsch,29,Germany,ST,250000.0
Germany,3. Liga,SpVgg Unterhaching,11,Mathias Fetsch,35,Germany,ST,200000.0
Germany,3. Liga,SpVgg Unterhaching,31,Florian Schmid,23,Germany,ST,75000.0
Germany,3. Liga,SpVgg Unterhaching,33,Simon Dorfner,19,Germany,ST,25000.0
Germany,3. Liga,SC Verl,7,Maximilian Wolfram,27,Germany,ST,250000.0
Germany,3. Liga,SC Verl,13,Lars Lokotsch,27,Germany,ST,250000.0
Germany,3. Liga,SC Verl,28,Yari Otto,24,Germany,ST,250000.0
Germany,3. Liga,SC Verl,18,Hendrik Mittelstädt,24,Germany,ST,125000.0
Germany,3. Liga,SSV Ulm 1846,24,Thomas Kastanaras,21,Germany,ST,500000.0
Germany,3. Liga,SSV Ulm 1846,33,Felix Higl,27,Germany,ST,225000.0
Germany,3. Liga,SSV Ulm 1846,9,Lucas Röser,30,Germany,ST,200000.0
Germany,3. Liga,FC Erzgebirge Aue,15,Marcel Bär,31,Germany,ST,350000.0
Germany,3. Liga,FC Erzgebirge Aue,30,Maximilian Thiel,31,Germany,ST,200000.0
Germany,3. Liga,FC Erzgebirge Aue,17,Luc Elsner,20,Germany,ST,25000.0
Germany,3. Liga,VfB Lübeck,16,Daouda Beleme,23,Burkina Faso,ST,225000.0
Germany,3. Liga,VfB Lübeck,14,Cyrill Akono,24,Germany,ST,175000.0
Germany,3. Liga,VfB Lübeck,39,Pascal Breier,32,Germany,ST,175000.0
Germany,3. Liga,VfB Lübeck,29,Mats Facklam,27,Germany,ST,125000.0
Germany,3. Liga,VfB Lübeck,9,Kimmo Hovi,29,Finland,ST,100000.0
Germany,Regionalliga Nord,Hannover 96 II,8,Nick Stepantsev,21,Germany,ST,125000.0
Germany,Regionalliga Nord,Hannover 96 II,19,Lennart Garlipp,20,Germany,ST,100000.0
Germany,Regionalliga Nord,Hannover 96 II,29,Sean Busch,20,Germany,ST,100000.0
Germany,Regionalliga Nord,Hannover 96 II,9,Theo Schröder,22,Germany,ST,25000.0
Germany,Regionalliga Nord,Hamburger SV II,13,Tom Sanne,20,Germany,ST,250000.0
Germany,Regionalliga Nord,Hamburger SV II,19,Omar Sillah,20,Germany,ST,75000.0
Germany,Regionalliga Nord,Hamburger SV II,21,Ohene Köhl,20,Germany,ST,75000.0
Germany,Regionalliga Nord,Hamburger SV II,9,Ware Pakia,22,Germany,ST,50000.0
Germany,Regionalliga Nord,Holstein Kiel II,9,Etienne Sohn,20,Germany,ST,75000.0
Germany,Regionalliga Nord,Holstein Kiel II,19,Laurynas Kulikas,30,Russia,ST,75000.0
Germany,Regionalliga Nord,Holstein Kiel II,16,Oskar von Esebeck,20,Germany,ST,25000.0
Germany,Regionalliga Nord,FC St. Pauli II,10,Julian Ulbricht,24,Germany,ST,150000.0
Germany,Regionalliga Nord,FC St. Pauli II,11,Bennet Winter,19,Germany,ST,125000.0
Germany,Regionalliga Nord,FC St. Pauli II,7,John Posselt,20,Germany,ST,75000.0
Germany,Regionalliga Nord,VfB Oldenburg,24,Markus Ziereis,31,Germany,ST,125000.0
Germany,Regionalliga Nord,VfB Oldenburg,9,Max Wegner,35,Germany,ST,75000.0
Germany,Regionalliga Nord,VfB Oldenburg,19,Tom Gaida,19,Germany,ST,10000.0
Germany,Regionalliga Nord,FC Teutonia 05 Ottensen,17,Ole Wohlers,23,Germany,ST,125000.0
Germany,Regionalliga Nord,FC Teutonia 05 Ottensen,24,Affam Ifeadigo,27,Germany,ST,75000.0
Germany,Regionalliga Nord,FC Teutonia 05 Ottensen,15,Serkan Dursun,23,Germany,ST,50000.0
Germany,Regionalliga Nord,SV Meppen,10,Marek Janssen,27,Germany,ST,150000.0
Germany,Regionalliga Nord,SV Meppen,11,Christopher Schepp,24,Germany,ST,150000.0
Germany,Regionalliga Nord,SV Meppen,9,Lars Spit,25,Netherlands,ST,50000.0
Germany,Regionalliga Nord,1.FC Phönix Lübeck,10,Haris Hyseni,31,Kosovo,ST,100000.0
Germany,Regionalliga Nord,1.FC Phönix Lübeck,18,Leander Fritzsche,23,Germany,ST,75000.0
Germany,Regionalliga Nord,1.FC Phönix Lübeck,22,Anton Ihde,20,Germany,ST,10000.0
Germany,Regionalliga Nord,SC Weiche Flensburg 08,23,Felix Brügmann,31,Germany,ST,100000.0
Germany,Regionalliga Nord,SC Weiche Flensburg 08,7,Mika Kieselbach,23,Germany,ST,25000.0
Germany,Regionalliga Nord,SC Weiche Flensburg 08,32,John Dethlefs,21,Germany,ST,25000.0
Germany,Regionalliga Nord,TSV Havelse,11,Yannik Jaeschke,30,Germany,ST,100000.0
Germany,Regionalliga Nord,TSV Havelse,9,Luca Mittelstädt,24,Germany,ST,25000.0
Germany,Regionalliga Nord,Eintracht Norderstedt,28,Noah Awuku,24,Germany,ST,75000.0
Germany,Regionalliga Nord,Eintracht Norderstedt,14,Kevin Prinz von Anhalt,29,Germany,ST,50000.0
Germany,Regionalliga Nord,Eintracht Norderstedt,19,Manuel Brendel,24,Germany,ST,25000.0
Germany,Regionalliga Nord,SV Drochtersen/Assel,9,Moritz Göttel,31,Germany,ST,100000.0
Germany,Regionalliga Nord,SV Drochtersen/Assel,20,Willi Reincke,20,Germany,ST,75000.0
Germany,Regionalliga Nord,SV Drochtersen/Assel,14,Alexander Neumann,34,Germany,ST,50000.0
Germany,Regionalliga Nord,SV Drochtersen/Assel,29,Felix Schmiederer,28,Germany,ST,25000.0
Germany,Regionalliga Nord,SSV Jeddeloh II,28,Dennis Lerche,28,Germany,ST,75000.0
Germany,Regionalliga Nord,SSV Jeddeloh II,9,Simon Brinkmann,23,Germany,ST,50000.0
Germany,Regionalliga Nord,SSV Jeddeloh II,8,Mario Fredehorst,30,Germany,ST,25000.0
Germany,Regionalliga Nord,SSV Jeddeloh II,13,Bowen Wang,20,China,ST,25000.0
Germany,Regionalliga Nord,SSV Jeddeloh II,18,Julian Bennert,32,Germany,ST,25000.0
Germany,Regionalliga Nord,Bremer SV,9,Herdi Bukusu,24,Germany,ST,75000.0
Germany,Regionalliga Nord,Bremer SV,20,Ninte Nater,19,Guinea-Bissau,ST,25000.0
Germany,Regionalliga Nord,Bremer SV,30,Nikky Goguadze,25,Netherlands,ST,25000.0
Germany,Regionalliga Nord,Bremer SV,21,Jan Rabens,19,Germany,ST,10000.0
Germany,Regionalliga Nord,Blau-Weiß Lohne,21,Thorsten Tönnies,33,Germany,ST,75000.0
Germany,Regionalliga Nord,Blau-Weiß Lohne,29,Jannik Zahmel,21,Germany,ST,50000.0
Germany,Regionalliga Nord,Blau-Weiß Lohne,7,Bennet van den Berg,24,Germany,ST,25000.0
Germany,Regionalliga Nord,Eimsbütteler TV,18,Maurice Boakye,19,Germany,ST,50000.0
Germany,Regionalliga Nord,Eimsbütteler TV,11,Dominik Akyol,24,Portugal,ST,25000.0
Germany,Regionalliga Nord,Eimsbütteler TV,37,Nick Leptien,20,Germany,ST,10000.0
Germany,Regionalliga Nord,FC Kilia Kiel,13,Christopher Kramer,34,Germany,ST,50000.0
Germany,Regionalliga Nord,FC Kilia Kiel,11,Jan-Matti Seidel,23,Germany,ST,25000.0
Germany,Regionalliga Nord,FC Kilia Kiel,26,Benjamin Petrick,29,Germany,ST,25000.0
Germany,Regionalliga Nord,FC Kilia Kiel,30,Ben Opoku,20,Germany,ST,25000.0
Germany,Regionalliga Nord,FC Kilia Kiel,9,Ben Luca Nohns,21,Germany,ST,10000.0
Germany,Regionalliga Nord,FC Kilia Kiel,24,Marvin Müller,21,Germany,ST,10000.0
Germany,Regionalliga Nord,SC Spelle-Venhaus,9,Tom Winnemöller,21,Germany,ST,10000.0
Germany,Regionalliga Nord,SC Spelle-Venhaus,25,Jip Kemna,26,Netherlands,ST,10000.0
Germany,Regionalliga Northeast,Hertha BSC II,39,Derry Scherhant,21,Germany,ST,800000.0
Germany,Regionalliga Northeast,Hertha BSC II,11,Ruwen Werthmüller,23,Switzerland,ST,100000.0
Germany,Regionalliga Northeast,FC Energie Cottbus,18,Cedric Euschen,26,Germany,ST,75000.0
Germany,Regionalliga Northeast,FC Energie Cottbus,9,Tim Heike,24,Germany,ST,200000.0
Germany,Regionalliga Northeast,FC Energie Cottbus,7,Timmy Thiele,32,Germany,ST,150000.0
Germany,Regionalliga Northeast,Greifswalder FC,90,Soufian Benyamina,34,Germany,ST,175000.0
Germany,Regionalliga Northeast,Greifswalder FC,10,Manassé Eshele,25,DR Congo,ST,125000.0
Germany,Regionalliga Northeast,Greifswalder FC,23,Johannes Manske,24,Germany,ST,75000.0
Germany,Regionalliga Northeast,Greifswalder FC,9,Jonas Marx,19,Germany,ST,25000.0
Germany,Regionalliga Northeast,VSG Altglienicke,13,Marvin Pourié,33,Germany,ST,225000.0
Germany,Regionalliga Northeast,VSG Altglienicke,9,Anthony Roczen,24,Germany,ST,75000.0
Germany,Regionalliga Northeast,BFC Dynamo,21,Vasilios Dedidis,24,Greece,ST,100000.0
Germany,Regionalliga Northeast,BFC Dynamo,9,Rufat Dadashov,32,Azerbaijan,ST,200000.0
Germany,Regionalliga Northeast,BFC Dynamo,11,Louis Malina,21,Germany,ST,50000.0
Germany,Regionalliga Northeast,BFC Dynamo,20,Erlind Zogjani,19,Germany,ST,50000.0
Germany,Regionalliga Northeast,FC Carl Zeiss Jena,9,Cemal Sezer,28,Germany,ST,100000.0
Germany,Regionalliga Northeast,FC Carl Zeiss Jena,23,Benjamin Zank,19,Germany,ST,75000.0
Germany,Regionalliga Northeast,FC Carl Zeiss Jena,21,Max Grimm,20,Germany,ST,50000.0
Germany,Regionalliga Northeast,FC Hansa Rostock II,16,Lukas Hinterseer,33,Austria,ST,250000.0
Germany,Regionalliga Northeast,FC Hansa Rostock II,19,Luca Wollschläger,21,Germany,ST,125000.0
Germany,Regionalliga Northeast,FC Hansa Rostock II,17,Tim Krohn,18,Germany,ST,100000.0
Germany,Regionalliga Northeast,FC Hansa Rostock II,9,Randy Dei,20,Germany,ST,25000.0
Germany,Regionalliga Northeast,FC Hansa Rostock II,7,Luca Barata,21,Portugal,ST,10000.0
Germany,Regionalliga Northeast,Rot-Weiß Erfurt,28,Maxime Langner,19,Germany,ST,25000.0
Germany,Regionalliga Northeast,Rot-Weiß Erfurt,9,Michael Seaton,27,Jamaica,ST,125000.0
Germany,Regionalliga Northeast,Rot-Weiß Erfurt,11,Romario Hajrulla,25,Albania,ST,100000.0
Germany,Regionalliga Northeast,1.FC Lokomotive Leipzig,13,Djamal Ziane,32,Germany,ST,100000.0
Germany,Regionalliga Northeast,1.FC Lokomotive Leipzig,9,Will Siakam,28,Germany,ST,50000.0
Germany,Regionalliga Northeast,FC Viktoria 1889 Berlin,10,Lucas Falcão,24,Brazil,ST,150000.0
Germany,Regionalliga Northeast,FC Viktoria 1889 Berlin,25,Oleg Skakun,19,Ukraine,ST,50000.0
Germany,Regionalliga Northeast,FC Viktoria 1889 Berlin,23,Nicolas Hebisch,34,Germany,ST,75000.0
Germany,Regionalliga Northeast,SV Babelsberg 03,9,Julius Hoffmann,19,Germany,ST,100000.0
Germany,Regionalliga Northeast,SV Babelsberg 03,11,Daniel Frahn,36,Germany,ST,75000.0
Germany,Regionalliga Northeast,Chemnitzer FC,11,Dejan Bozic,31,Germany,ST,100000.0
Germany,Regionalliga Northeast,Chemnitzer FC,14,Kingsley Alison Akindele,19,Germany,ST,25000.0
Germany,Regionalliga Northeast,Chemnitzer FC,29,Davis Smith,26,United States,ST,25000.0
Germany,Regionalliga Northeast,FSV Zwickau,33,Marc-Philipp Zimmermann,34,Germany,ST,100000.0
Germany,Regionalliga Northeast,FSV Zwickau,28,Veron Dobruna,23,Kosovo,ST,75000.0
Germany,Regionalliga Northeast,FSV Zwickau,5,Lucas Albert,24,Germany,ST,50000.0
Germany,Regionalliga Northeast,FSV Zwickau,9,Lucas Will,24,Germany,ST,50000.0
Germany,Regionalliga Northeast,FSV 63 Luckenwalde,11,Jorden Winter,20,Germany,ST,150000.0
Germany,Regionalliga Northeast,FSV 63 Luckenwalde,29,Simon Gollnack,22,Germany,ST,100000.0
Germany,Regionalliga Northeast,FSV 63 Luckenwalde,9,Till Plumpe,23,Germany,ST,50000.0
Germany,Regionalliga Northeast,BSG Chemie Leipzig,20,Florian Kirstein,28,Germany,ST,50000.0
Germany,Regionalliga Northeast,BSG Chemie Leipzig,37,Maximilian Jagatic,19,Germany,ST,10000.0
Germany,Regionalliga Northeast,ZFC Meuselwitz,11,Arlind Shoshi,26,Kosovo,ST,50000.0
Germany,Regionalliga Northeast,ZFC Meuselwitz,24,Michel Ulrich,24,Germany,ST,50000.0
Germany,Regionalliga Northeast,Berliner AK 07,9,Jamal Rogero,20,Germany,ST,50000.0
Germany,Regionalliga Northeast,Berliner AK 07,11,Felix Pilger,21,Germany,ST,50000.0
Germany,Regionalliga Northeast,Berliner AK 07,14,Abu Bakarr Kargbo,31,Sierra Leone,ST,50000.0
Germany,Regionalliga Northeast,FC Eilenburg,22,Benjamin Luis,24,Germany,ST,75000.0
Germany,Regionalliga Northeast,FC Eilenburg,7,Christopher Bibaku,28,France,ST,50000.0
Italy,Serie A,Inter Milan,10,Lautaro Martínez,26,Argentina,ST,110000000.0
Italy,Serie A,Inter Milan,9,Marcus Thuram,26,France,ST,60000000.0
Italy,Serie A,Inter Milan,8,Marko Arnautovic,34,Austria,ST,5000000.0
Italy,Serie A,Inter Milan,70,Alexis Sánchez,35,Chile,ST,2500000.0
Italy,Serie A,AC Milan,17,Noah Okafor,23,Switzerland,ST,20000000.0
Italy,Serie A,AC Milan,15,Luka Jović,26,Serbia,ST,7000000.0
Italy,Serie A,AC Milan,9,Olivier Giroud,37,France,ST,4000000.0
Italy,Serie A,SSC Napoli,81,Giacomo Raspadori,24,Italy,ST,28000000.0
Italy,Serie A,SSC Napoli,9,Victor Osimhen,25,Nigeria,ST,110000000.0
Italy,Serie A,SSC Napoli,18,Giovanni Simeone,28,Argentina,ST,13000000.0
Italy,Serie A,Juventus FC,15,Kenan Yıldız,18,Türkiye,ST,30000000.0
Italy,Serie A,Juventus FC,9,Dušan Vlahović,24,Serbia,ST,65000000.0
Italy,Serie A,Juventus FC,18,Moise Kean,24,Italy,ST,18000000.0
Italy,Serie A,Juventus FC,14,Arkadiusz Milik,30,Poland,ST,7000000.0
Italy,Serie A,Atalanta BC,11,Ademola Lookman,26,Nigeria,ST,30000000.0
Italy,Serie A,Atalanta BC,90,Gianluca Scamacca,25,Italy,ST,25000000.0
Italy,Serie A,Atalanta BC,10,El Bilal Touré,22,Mali,ST,20000000.0
Italy,Serie A,AS Roma,21,Paulo Dybala,30,Argentina,ST,25000000.0
Italy,Serie A,AS Roma,9,Tammy Abraham,26,England,ST,35000000.0
Italy,Serie A,AS Roma,90,Romelu Lukaku,30,Belgium,ST,30000000.0
Italy,Serie A,AS Roma,17,Sardar Azmoun,29,Iran,ST,10000000.0
Italy,Serie A,Bologna FC 1909,9,Joshua Zirkzee,22,Netherlands,ST,40000000.0
Italy,Serie A,Bologna FC 1909,18,Santiago Castro,19,Argentina,ST,12000000.0
Italy,Serie A,ACF Fiorentina,9,Lucas Beltrán,23,Argentina,ST,16000000.0
Italy,Serie A,ACF Fiorentina,18,M'Bala Nzola,27,Angola,ST,8000000.0
Italy,Serie A,ACF Fiorentina,20,Andrea Belotti,30,Italy,ST,6000000.0
Italy,Serie A,SS Lazio,19,Taty Castellanos,25,Argentina,ST,15000000.0
Italy,Serie A,SS Lazio,17,Ciro Immobile,34,Italy,ST,7000000.0
Italy,Serie A,Torino FC,9,Antonio Sanabria,28,Paraguay,ST,9500000.0
Italy,Serie A,Torino FC,91,Duván Zapata,33,Colombia,ST,8000000.0
Italy,Serie A,Torino FC,11,Pietro Pellegri,23,Italy,ST,3500000.0
Italy,Serie A,Torino FC,21,David Okereke,26,Nigeria,ST,2700000.0
Italy,Serie A,US Sassuolo,9,Andrea Pinamonti,24,Italy,ST,15000000.0
Italy,Serie A,US Sassuolo,8,Samuele Mulattieri,23,Italy,ST,4500000.0
Italy,Serie A,US Sassuolo,92,Grégoire Defrel,32,France,ST,1000000.0
Italy,Serie A,Genoa CFC,11,Albert Gudmundsson,26,Iceland,ST,22000000.0
Italy,Serie A,Genoa CFC,19,Mateo Retegui,24,Italy,ST,16000000.0
Italy,Serie A,Genoa CFC,9,Vitinha,24,Portugal,ST,15000000.0
Italy,Serie A,Genoa CFC,30,David Ankeye,21,Nigeria,ST,2000000.0
Italy,Serie A,Genoa CFC,18,Caleb Ekuban,30,Ghana,ST,1000000.0
Italy,Serie A,Udinese Calcio,17,Lorenzo Lucca,23,Italy,ST,8000000.0
Italy,Serie A,Udinese Calcio,22,Brenner,24,Brazil,ST,8000000.0
Italy,Serie A,Udinese Calcio,7,Isaac Success,28,Nigeria,ST,3500000.0
Italy,Serie A,Udinese Calcio,9,Keinan Davis,26,England,ST,3000000.0
Italy,Serie A,Udinese Calcio,10,Gerard Deulofeu,30,Spain,ST,2500000.0
Italy,Serie A,AC Monza,10,Gianluca Caprari,30,Italy,ST,5000000.0
Italy,Serie A,AC Monza,9,Lorenzo Colombo,22,Italy,ST,7000000.0
Italy,Serie A,AC Monza,47,Dany Mota,25,Portugal,ST,5000000.0
Italy,Serie A,AC Monza,11,Milan Djuric,33,Bosnia-Herzegovina,ST,1500000.0
Italy,Serie A,Frosinone Calcio,70,Walid Cheddira,26,Morocco,ST,6000000.0
Italy,Serie A,Frosinone Calcio,9,Kaio Jorge,22,Brazil,ST,4000000.0
Italy,Serie A,Frosinone Calcio,11,Marvin Cuni,22,Albania,ST,1000000.0
Italy,Serie A,US Lecce,9,Nikola Krstovic,24,Montenegro,ST,5000000.0
Italy,Serie A,US Lecce,91,Roberto Piccoli,23,Italy,ST,3500000.0
Italy,Serie A,US Lecce,45,Rareș Burnete,20,Romania,ST,700000.0
Italy,Serie A,US Salernitana 1919,10,Boulaye Dia,27,Senegal,ST,13000000.0
Italy,Serie A,US Salernitana 1919,14,Shon Weissman,28,Israel,ST,2000000.0
Italy,Serie A,US Salernitana 1919,22,Chukwubuikem Ikwuemesi,22,Nigeria,ST,1800000.0
Italy,Serie A,US Salernitana 1919,9,Simy,31,Nigeria,ST,600000.0
Italy,Serie A,US Salernitana 1919,-,Mikael,24,Brazil,ST,500000.0
Italy,Serie A,Cagliari Calcio,77,Zito Luvumbo,22,Angola,ST,6000000.0
